Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,,146.010000,,0.600000,,88.5,88.5,023,NN,FM,5.00,,,,,,
1,NR7SS,440.325000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,"Snohomish, Mt Pilchuck",CQCQCQ,,,0
2,NR7SS,440.350000,+,5.000000,,88.5,88.5,023,NN,DV,5.00,,Everett,CQCQCQ,,,0
3,WE7SCA,440.375000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Edmonds,,,,
4,N7XCG,440.400000,+,5.000000,Tone,123.0,88.5,023,NN,FM,5.00,,Arlington,,,,
5,KG7QPU,441.150000,+,5.000000,Tone,123.0,123.0,023,NN,Auto,5.00,,Snohomish,,,,
6,N7NFY,441.650000,+,5.000000,Tone,127.3,127.3,023,NN,Auto,5.00,,"North Bend, Rattlesnake Ridge",,,,
7,W7EAR,442.175000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Gold Bar,,,,
8,W7MB,442.675000,+,5.000000,Tone,127.3,88.5,023,NN,FM,5.00,,Darrington,,,,
9,WR7DS,442.725000,+,5.000000,DTCS,88.5,88.5,172,NN,Auto,5.00,,Mill Creek,,,,
10,KD7VMK,442.800000,+,5.000000,,88.5,173.8,023,NN,FM,5.00,,"Darrington, Barlow Pass",,,,
11,WA7DEM,442.975000,+,5.000000,Tone,103.5,103.5,023,NN,Auto,5.00,,"Snohomish, Clearview",,,,
12,K7MJ,443.225000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Monroe,,,,
13,WA7DEM,443.725000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,Mountlake Terrace,,,,
14,W7UFI,443.875000,+,5.000000,Tone,103.5,103.5,023,NN,FM,5.00,,Darington,,,,
15,N7NFY,443.875000,+,5.000000,Tone,127.3,127.3,023,NN,Auto,5.00,,"Gold Bar, Haystack Mountain",,,,
16,KG7QPU,443.900000,+,5.000000,Tone,151.4,151.4,023,NN,DV,5.00,,Snohomish,CQCQCQ,,,0
17,W7FLY,443.925000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,"Mukilteo, Boeing",,,,
18,WE7SCA,444.025000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Edmonds,,,,
19,W7SKY,444.125000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Sultan,,,,
20,AF7PR,444.150000,+,5.000000,,88.5,88.5,023,NN,DIG,5.00,,"Oso, Frailey Mtn",,,,
21,K7MLR,444.200000,+,5.000000,Tone,103.5,88.5,023,NN,FM,5.00,,Marysville,,,,
22,WA7LAW,444.575000,+,5.000000,Tone,103.5,103.5,023,NN,Auto,5.00,,Everett,,,,
23,NW7DR,444.725000,+,5.000000,Tone,123.0,123.0,023,NN,DV,5.00,,Edmonds,CQCQCQ,,,0
24,N7IBF,444.925000,+,5.000000,Tone,100.0,88.5,023,NN,FM,5.00,,Mill Creek,,,,
25,W2ZT,444.975000,+,5.000000,Tone,114.8,88.5,023,NN,FM,5.00,,"Sultan, Haystack Mountain",,,,
26,W2ZT,223.940000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,"Sultan, Haystack Mountain",,,,
27,K7UID,224.060000,-,1.600000,Tone,103.5,103.5,023,NN,FM,5.00,,Everett,,,,
28,K7MJ,224.100000,-,1.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Monroe,,,,
29,WA7DEM,224.380000,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,Marysville,,,,
30,W7WRG,224.580000,-,1.600000,Tone,103.5,88.5,023,NN,FM,5.00,,"Sultan, Haystack",,,,
31,W2ZT,145.390000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Everett,,,,
32,WA7DEM,146.780000,-,0.600000,Tone,162.2,162.2,023,NN,FM,5.00,,Lynnwood,,,,
33,N7NFY,146.800000,-,0.600000,Tone,136.5,136.5,023,NN,FM,5.00,,Lynnwood,,,,
34,WB7VYA,146.920000,-,0.600000,Tone,123.0,88.5,023,NN,FM,5.00,,Granite Falls,,,,
35,WA7LAW,147.180000,+,0.600000,Tone,103.5,103.5,023,NN,FM,5.00,,Everett,,,,
